=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 11] STT 34 | Ma: G1BHYB001  | Ten: Bài tập Sinh học 11(KNTT)                               | Gia:   22,000 Ä‘ | SL:  1 | ThanhTien:     22,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT  1 | Ma: G1HHZV004  | Ten: Ngữ văn 12, tập một (KNTT)                              | Gia:   20,300 Ä‘ | SL:  2 | ThanhTien:     40,600 Ä‘ | Ghi chu: Khối A (1 HS: Hà Nam) + Khối D (1 HS: Đinh Lê Quỳnh Chi)
[Lá»›p 12] STT  2 | Ma: G1BHZV001  | Ten: Bài tập Ngữ văn 12, tập một (KNTT)                      | Gia:   14,000 Ä‘ | SL:  2 | ThanhTien:     28,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  3 | Ma: G1HHZV005  | Ten: Ngữ văn 12, tập hai (KNTT)                              | Gia:   17,100 Ä‘ | SL:  2 | ThanhTien:     34,200 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  4 | Ma: G1BHZV002  | Ten: Bài tập Ngữ văn 12, tập hai (KNTT)                      | Gia:   11,000 Ä‘ | SL:  2 | ThanhTien:     22,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  5 | Ma: G1HHZV006  | Ten: Chuyên đề học tập Ngữ văn 12 (KNTT)                     | Gia:   11,900 Ä‘ | SL:  1 | ThanhTien:     11,900 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT  6 | Ma: G1HHZT004  | Ten: Toán 12, tập một (KNTT)                                 | Gia:   12,500 Ä‘ | SL:  2 | ThanhTien:     25,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  7 | Ma: G1BHZT001  | Ten: Bài tập Toán 12, tập một (KNTT)                         | Gia:   16,000 Ä‘ | SL:  2 | ThanhTien:     32,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  8 | Ma: G1HHZT005  | Ten: Toán 12, tập hai (KNTT)                                 | Gia:   11,700 Ä‘ | SL:  2 | ThanhTien:     23,400 Ä‘ | Ghi chu: 
[Lá»›p 12] STT  9 | Ma: G1BHZT002  | Ten: Bài tập Toán 12, tập hai (KNTT)                         | Gia:   16,000 Ä‘ | SL:  2 | ThanhTien:     32,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 10 | Ma: G1HHZT006  | Ten: Chuyên đề học tập - Toán 12 (KNTT)                      | Gia:    8,800 Ä‘ | SL:  2 | ThanhTien:     17,600 Ä‘ | Ghi chu: Khối A (1 HS) + Khối D (1 HS)
[Lá»›p 12] STT 11 | Ma: G1HHZS003  | Ten: Lịch Sử 12 (KNTT)                                       | Gia:   13,900 Ä‘ | SL:  1 | ThanhTien:     13,900 Ä‘ | Ghi chu: Khối D (1 HS: Đinh Lê Quỳnh Chi)
[Lá»›p 12] STT 12 | Ma: G1HHZS004  | Ten: Chuyên đề học tập Lịch Sử 12 (KNTT)                     | Gia:    8,000 Ä‘ | SL:  1 | ThanhTien:      8,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 13 | Ma: C0MHZS001  | Ten: Tập bản đồ và tư liệu Lịch sử 12 - Phần Lịch sử         | Gia:   38,000 Ä‘ | SL:  1 | ThanhTien:     38,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 14 | Ma: C0MHZD001  | Ten: Tập bản đồ Địa lí 12 - Phần Địa lý                      | Gia:   39,000 Ä‘ | SL:  1 | ThanhTien:     39,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 15 | Ma: G1BHZS001  | Ten: Bài tập Lịch sử 12 (KNTT)                               | Gia:   18,000 Ä‘ | SL:  1 | ThanhTien:     18,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 20 | Ma: G1HHZQ002  | Ten: Hoạt động trải nghiệm, Hướng nghiệp 12 (KNTT)           | Gia:   12,100 Ä‘ | SL:  2 | ThanhTien:     24,200 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 21 | Ma: G1BHZQ001  | Ten: Bài tập hoạt động trải nghiệm, hướng nghiệp 12 (KNTT)   | Gia:   10,000 Ä‘ | SL:  2 | ThanhTien:     20,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 22 | Ma: G3HHZP002  | Ten: Giáo dục quốc phòng và an ninh 12                       | Gia:   11,000 Ä‘ | SL:  2 | ThanhTien:     22,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 23 | Ma: G3BHZP001  | Ten: Bài tập Giáo dục quốc phòng và an ninh 12               | Gia:   17,000 Ä‘ | SL:  2 | ThanhTien:     34,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 24 | Ma: G3HHZA002  | Ten: Tiếng Anh 12 – Sách học sinh  - Global Success          | Gia:   37,900 Ä‘ | SL:  2 | ThanhTien:     75,800 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 25 | Ma: G3BHZA001  | Ten: Tiếng Anh 12 – Sách bài tập  - Global Success           | Gia:   70,000 Ä‘ | SL:  2 | ThanhTien:    140,000 Ä‘ | Ghi chu: 
[Lá»›p 12] STT 26 | Ma: G1HHZL003  | Ten: Vật lí 12 (KNTT)                                        | Gia:   15,200 Ä‘ | SL:  1 | ThanhTien:     15,200 Ä‘ | Ghi chu: Khối A (1 HS: Hà Nam)
[Lá»›p 12] STT 27 | Ma: G1HHZL004  | Ten: Chuyên đề học tập Vật lí 12 (KNTT)                      | Gia:    8,900 Ä‘ | SL:  1 | ThanhTien:      8,900 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 28 | Ma: G1BHZL001  | Ten: Bài tập Vật lí 12 (KNTT)                                | Gia:   18,000 Ä‘ | SL:  1 | ThanhTien:     18,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 29 | Ma: G1HHZH003  | Ten: Hóa học 12 (KNTT)                                       | Gia:   17,900 Ä‘ | SL:  1 | ThanhTien:     17,900 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 30 | Ma: G1HHZH004  | Ten: Chuyên đề học tập Hóa học 12 (KNTT)                     | Gia:    7,000 Ä‘ | SL:  1 | ThanhTien:      7,000 Ä‘ | Ghi chu: Khối A (1 HS)
